vehicle,family,country,status,reusable,first_flight_date,num_flights,capex_program_usd,capex_program_year,capex_program_basis,capex_program_source,capex_first_launch_usd,capex_first_launch_year,capex_first_launch_basis,capex_first_launch_source,opex_marginal_usd,opex_marginal_year,opex_marginal_source,opex_price_usd,opex_price_year,opex_price_source,opex_fully_loaded_usd,opex_fully_loaded_year,opex_fully_loaded_source,payload_leo_kg,payload_leo_note,opex_per_kg_usd,opex_per_kg_basis,opex_per_kg_source,notes
Falcon 9 v1.0,Falcon 9,USA,retired,false,2010-06-04,5,300000000.0,2011,"SpaceX-stated total Falcon 9 v1.0 development cost, independently verified by NASA. NASA also cites $390M including ~$90M of Falcon 1 heritage work. NASA COTS Space Act Agreement funding ($278M at 2006 signing, rising to $396M by 2011) is NASA's contribution only (bundled with Dragon demo flights), not SpaceX's total spend -- not directly comparable.",https://www.nasa.gov/wp-content/uploads/2015/01/586023main_8-3-11_NAFCOM.pdf,,,No source isolates development cost incurred only through the first flight (June 2010) separately from the cumulative ~$300M figure reported in 2011.,,,,,54000000.0,2011.0,https://nss.org/statement-from-spacex-ceo-elon-musk/,,,,10454.0,"Rated capacity, 200km circular/28.5 deg, Cape Canaveral, Falcon 9 Block 2 config (flew as v1.0), fully expendable. Actual v1.0 missions (Dragon) carried far less.",5167.0,derived: price / rated LEO capacity,https://www.spaceflightnow.com/falcon9/001/f9guide.pdf,"NASA's NAFCOM cost model separately estimated Falcon 9 would have cost NASA $3.977B (FY2010$, NASA-culture cost-plus inputs) or $1.695B (commercial-culture inputs) if developed in-house -- a hypothetical counterfactual, not actual SpaceX spend, but the source of the famous 4-11x 'commercial vs cost-plus' comparison. No marginal/incremental production-cost figure (distinct from customer price) is publicly available for this version."
"Falcon 9 (reusable, Block 5)",Falcon 9,USA,active,partial,2018-05-11,658,1400000000.0,2018,"ESTIMATE (Payload Research, secondary analyst analysis): cumulative Falcon-family development cost through reusable Falcon 9 (Falcon 1 heritage + F9 expendable + reusability R&D); ~$1.9B if inflation-adjusted to 2024$. Not an official SpaceX total. Cross-check: Musk stated in March 2017 SpaceX had spent 'over $1 billion' self-funded on reusable-rocket technology specifically.",https://payloadspace.com/rocket-development-costs-by-vehicle-payload-research/,390000000.0,2011,"NASA-verified total SpaceX development cost for Falcon 9 v1.0 + Falcon 1 heritage -- NOT Block-5-specific; no public figure isolates the incremental Block 5 (first flight May 2018) development cost alone. Included for completeness, but treat with caution as a 'cost to first launch' figure for THIS variant.",https://www.nasa.gov/wp-content/uploads/2015/01/586023main_8-3-11_NAFCOM.pdf,15000000.0,2020.0,https://www.elonx.net/how-much-does-it-cost-to-launch-a-reused-falcon-9-elon-musk-explains-why-reusability-is-worth-it/,74000000.0,2026.0,https://satbase.com/articles/spacex-falcon-9-price-increase-2026,,,,17400.0,"22,800 kg expendable (no booster recovery) vs. ~17,400-18,500 kg with drone-ship/RTLS booster recovery (typical operational mode); reusable-mode figure varies by source/date due to Block 5 performance upgrades.",4023.0,derived: price / typical reusable-mode LEO capacity,https://en.wikipedia.org/wiki/Falcon_9,"num_flights is total Falcon 9 launches across ALL variants (v1.0, v1.1/FT, Block 5) as of mid-2026; large majority since 2019 are Block 5. Annual cadence: 91 (2023), 132 (2024), 165 (2025), each a record. SpaceX exec Christopher Couluris separately stated marginal cost was '$28M with everything' in a 2020 briefing -- executive statements, not audited figures. NSSL government task orders run far higher (~$102-105M, FY2024/25 Phase 3 awards)."
Falcon Heavy,Falcon,USA,active,partial,2018-02-06,12,500000000.0,2018,"Elon Musk's stated total self-funded investment ('over half a billion dollars, or more'), given in post-launch remarks immediately after the Feb 2018 debut/IOC flight; no government funding; leveraged existing Falcon 9 tooling. Musk did not distinguish total-program cost from cost-to-first-launch, so the same figure is used for both bases here. ESTIMATE cross-check (Payload Research): FH-specific increment over reusable F9 of ~$500M (~$614M in 2024$).",https://spacenews.com/spacex-successfully-launches-falcon-heavy/,500000000.0,2018,"Same Musk quote, made immediately after the Feb 2018 demo flight; not separately verified from total program cost.",https://www.geekwire.com/2018/spacexs-elon-musk-marvels-surreal-falcon-heavy-success-looks-ahead-bigger-spaceship/,,,,97000000.0,2022.0,https://en.wikipedia.org/wiki/Falcon_Heavy,,,,63800.0,"63,800 kg fully expendable maximum; most flown missions instead recover the two side boosters with center core expended (~57,000 kg). The $97M list price historically applies to a partial-recovery flight, not the 63,800 kg expendable max, so this $/kg pairing understates true expendable cost-efficiency.",1521.0,"derived: partial-recovery price / fully-expendable rated capacity (inconsistent basis, see note)",https://en.wikipedia.org/wiki/Falcon_Heavy,"Musk separately quoted ~$150M 'at most' for a fully-expendable flight (Feb 2018); on that internally-consistent basis, $/kg ~$2,350. NSSL/USSF contract prices run much higher and include non-recurring infrastructure (e.g. USSF-67 = $316M, includes pad/fairing/NRO-facility costs); NASA Psyche mission = $117M. No FH-specific marginal cost distinct from price was found. 100% mission success across 12 flights; cadence is low/irregular."
"Starship (expendable, pre-IFT-1 scope)",Starship,USA,development/testing,partial (assumed expendable for this analysis),2023-04-20,1,3000000000.0,2023,"SpaceX CFO Bret Johnsen's sworn court declaration (~May 19, 2023, ~1 month after IFT-1): SpaceX invested 'more than $3 billion' in Starbase facility + Starship/Super Heavy development, July 2014 through the filing date. Closest available cumulative actual-spend figure, but blends facility construction with vehicle R&D and slightly postdates IFT-1. Distinct from NASA's $2.89B HLS Option A contract (April 2021), which funds the lunar-lander work only, not SpaceX's total investment.",https://www.cnbc.com/2023/05/22/spacex-joining-faa-to-fight-environmental-lawsuit-over-starship.html,,,SpaceX does not disclose a 'cost to IFT-1' figure separate from cumulative/annual R&D spend; no source cleanly isolates it.,,100000000.0,2024.0,https://payloadspace.com/payload-research-detailing-artemis-vehicle-rd-costs/,,,,,,,250000.0,"SpaceX-cited expendable-configuration maximum (~250 t); reusable configuration cited as 100-150 t. Figures vary across SpaceX communications over time; treat as approximate/aspirational, not flight-proven.",400.0,derived: ESTIMATE marginal cost / aspirational expendable capacity (highly speculative),https://payloadspace.com/payload-research-detailing-artemis-vehicle-rd-costs/,"ESTIMATES/TARGETS clearly flagged: Musk's oft-cited $2M (sometimes $1-3M) marginal-cost target is explicitly for a fully-reusable, high-cadence vehicle and does NOT apply to this analysis's expendable scope -- reported for context only, not used as a data point. The $100M/$400-per-kg figures are Payload Research analyst ESTIMATES (methodology not fully disclosed), dated ~2024, slightly after the IFT-1 window. No NASA OIG report independently estimates SpaceX's total Starship self-investment as of April 2023; a genuine, expected gap since SpaceX does not publish true costs. IFT-1 ended in vehicle loss via Flight Termination System ~4 min into flight; no payload deployed."
Antares,Antares,USA,active/transitioning,false,2013-04-21,18,472000000.0,2012,"Orbital Sciences' own estimated total Antares/Cygnus development cost per SEC filings (up from $458M in Q4 2011), against NASA's COTS Space Act Agreement cash milestone payments of $288M (final value, up from $170M in 2008) -- NASA's contribution portion only. Antares rocket and Cygnus spacecraft development costs appear bundled together, not cleanly separable.",https://www.flightglobal.com/space/orbital-sciences-development-costs-increase/105078.article,472000000.0,2012,"Same $472M figure, reported ~1 year before the April 2013 debut flight -- best available proxy for cost incurred through first launch, though not an exact first-launch cutoff.",https://www.flightglobal.com/space/orbital-sciences-development-costs-increase/105078.article,,,,339000000.0,2017.0,https://www.planetary.org/articles/201705011-data-orbital-spacex,,,,8000.0,"8,000 kg rated LEO capacity, Antares 230/230+; actual average cargo delivered per Cygnus mission was only ~2,600 kg (Cygnus itself, not the rocket, is usually the limiting factor).",42375.0,derived: bundled NASA CRS service price / rated LEO capacity (NOT a pure launch-only price; no commercial launch market exists for Antares),https://www.planetary.org/articles/201705011-data-orbital-spacex,"opex_price_usd ($339M) is a fully-bundled NASA CRS-1 service price (launch + Cygnus spacecraft production + NASA program overhead), per Planetary Society's contract-data analysis -- 1.86x SpaceX Dragon's cost over the same contract period. Using actual delivered cargo (~2,600 kg) instead of rated capacity, $/kg would be ~$130,385/kg. 18 total orbital launches (17 success, 1 failure -- Oct 2014 Orb-3 pad explosion). 200-series (Russian RD-181 powered) retired Aug 2023 after post-invasion supply cutoff; Cygnus has since flown on Falcon 9. A new Antares 330 variant (Firefly-built first stage) targets NET 2026."
Space Shuttle (STS),Space Shuttle,USA,retired,partial,1981-04-12,135,209000000000.0,2010,"NASA's own end-of-program total life-cycle cost estimate, 1971-2011 (development + 135 flights + facilities). Alternate figures: $192B (2010$) actual spend 1971-2010 per economist Roger Pielke Jr.'s reconstruction; $254.521B (2024$) per a 2013 peer-reviewed AIAA/JSR retrospective, split $52.621B DDT&E + $201.9B operations & sustainment.",https://www.space.com/12166-space-shuttle-program-cost-promises-209-billion.html,10162000000.0,"then-year, summed FY1972-1984","DDT&E only, reconstructed from actual NASA budget-request obligations FY1972-1984 (Planetary Society); window runs a few years past the April 1981 first flight (STS-1) since that's how NASA's own R&D budget line closed out. $10.606B if facilities construction is added.",https://www.planetary.org/space-policy/sts-program-development-cost,44400000.0,1993.0,https://www.gao.gov/assets/nsiad-93-115.pdf,,,,1697000000.0,2018.0,https://ntrs.nasa.gov/api/citations/20200001093/downloads/20200001093.pdf,27500.0,"Max rated payload to ~204km/28.5 deg orbit; only 16,050 kg to the higher-inclination ISS orbit.",61720.0,fully-loaded average cost (2018$) / rated LEO capacity,https://ntrs.nasa.gov/api/citations/20200001093/downloads/20200001093.pdf,"GAO's FY1993 marginal cost ($44.4M) covers only consumables/personnel that scale with flight rate, explicitly excluding ~90% of fixed institutional overhead. GAO's FY1993 'average cost per flight' was $413.5M then-year (still excludes ~$30.2B sunk development cost through 1992). NASA publicly cited ~$450M/mission (nominal, 2011) near program end. Independent fully-loaded estimate: ~$1.5B/flight (2010$) per Pielke. $61,720/kg uses the $1,697M (2018$) NASA-affiliated peer-reviewed figure; to ISS orbit (16,050kg) this becomes ~$105,800/kg. 2 losses: Challenger (1986), Columbia (2003)."
SLS (Space Launch System),SLS,USA,active,false,2022-11-16,2,23800000000.0,"nominal, cumulative through FY2022","Cumulative SLS-rocket-only obligations since program inception (~2011) through first flight (Nov 2022). Combined with Orion ($20.4B) and Exploration Ground Systems ($5.7B), total Artemis vehicle-side cost through 2022 was $49.9B. No single authoritative updated total-to-date (mid-2026) figure was found.",https://www.planetary.org/space-policy/cost-of-sls-and-orion,11800000000.0,"nominal, cumulative through FY2022","NASA's own official development cost to reach initial SLS capability (Artemis I): $2.7B formulation/design + $9.1B development, per GAO reporting. Narrower scope than the $23.8B total-obligations figure (excludes production/launch-support infrastructure spend).",https://www.gao.gov/products/gao-23-105609,2200000000.0,2021.0,https://oig.nasa.gov/docs/IG-22-003.pdf,,,,4100000000.0,2021.0,https://oig.nasa.gov/docs/IG-22-003.pdf,95000.0,"SLS Block 1 configuration; NASA typically quotes Trans-Lunar Injection mass (>27t) instead since all SLS missions target the Moon, not LEO.",43158.0,derived: fully-loaded avg cost (SLS+Orion+ESM+EGS) / Block 1 LEO capacity,https://oig.nasa.gov/docs/IG-22-003.pdf,"$2.2B = SLS-only production cost (NASA OIG, marginal proxy); $4.1B = SLS+Orion+European Service Module+Exploration Ground Systems combined average for Artemis I-IV, which OIG called 'unsustainable.' GAO-23-105609 (2023) found NASA does not track per-mission production costs transparently. Artemis II (crewed lunar flyby) launched April 1, 2026 and returned April 10-11, 2026."
Saturn V,Saturn,USA,retired,false,1967-11-09,13,6600000000.0,"then-year, 1960s (summed)","Total program cost (development + production of ~15 vehicles), Saturn V specifically, reconstructed from NASA Historical Reference Collection budget documents (peer-reviewed, Space Policy journal); ~$80B in 2025 dollars. Alternate figure: $6.417B (1964-1973 nominal appropriations) per NASA/Wikipedia budget records. Total Saturn family (V + IB + I + engines) = $9.4B.",https://www.planetary.org/space-policy/cost-of-apollo,,,"No isolated figure found; all sources report a combined development+production total spanning all ~15 vehicles (1961-1973) rather than separating cost through the first launch (Apollo 4, Nov 1967) alone.",,,,,,,,728000000.0,2018.0,https://ntrs.nasa.gov/api/citations/20200001093/downloads/20200001093.pdf,140000.0,"Uprated Block II configuration (Apollo 15-17 / Skylab); earlier vehicles rated ~118,000 kg.",5200.0,fully-loaded per-launch cost (2018$) / uprated LEO capacity,https://ntrs.nasa.gov/api/citations/20200001093/downloads/20200001093.pdf,"No formal marginal-vs-fully-loaded split exists in the literature; each vehicle was built to a fixed government contract, not mass-produced. The standard figure is $185M (1969$, the Saturn V's notional share of Apollo 11's $355M total mission cost); a 2018 NASA-affiliated peer-reviewed paper inflation-adjusts this to $728M (2018$), used here for consistency with the Shuttle/Titan IV/Titan II $/kg figures from the same source. Total Apollo program cost (spacecraft+launch vehicles+facilities) was $25.4-25.8B then-year (~$309B in 2025$)."
Titan IV,Titan,USA,retired,false,1989-06-14,39,18300000000.0,"nominal, ~1990","Air Force's December 1990 Selected Acquisition Report ESTIMATE for total program acquisition cost (65-66 vehicles over 16 years), reported via GAO. This is a program cost estimate, not a closed-out actual-cost figure.",https://www.gao.gov/assets/nsiad-91-271.pdf,,,No isolated DDT&E-only figure found separate from the total procurement-program estimate above.,,253400000.0,1996.0,https://www.gao.gov/assets/nsiad-95-141br.pdf,,,,451700000.0,1996.0,https://www.gao.gov/assets/nsiad-95-141br.pdf,21680.0,Titan IV-B configuration; earlier IV-A slightly lower.,24700.0,"NASA-affiliated peer-reviewed inflation-adjusted (2018$, basis year 1989) per-launch cost / rated LEO capacity",https://ntrs.nasa.gov/api/citations/20200001093/downloads/20200001093.pdf,"Marginal/fully-loaded figures are from the 1997 NASA Cassini/Titan-IV-Centaur launch (GAO NSIAD-95-141BR): $253.4M = direct NASA payment to Air Force for booster+Centaur+launch services; $451.7M = total NASA-side mission cost including integration contract and reserves (this specific NASA/Centaur configuration is somewhat pricier than a bare USAF Titan IV-B). A widely repeated $432M figure (dollar-year unclear) traces only to a secondary Astronautix essay, not a primary government document. Retired 2005 (high cost, toxic hypergolic propellants), replaced by EELV (Atlas V/Delta IV). 22 Titan IV-A + 17 Titan IV-B launches."
Titan II GLV (Gemini Launch Vehicle),Titan,USA,retired,false,1964-04-08,12,1283400000.0,"then-year, 1962-1967","TOTAL Project Gemini program cost (spacecraft $797.4M + launch vehicles $409.8M + support $76.2M), per a Jan. 1969 NASA report to Congress. The $409.8M 'launch vehicles' line combines Titan II GLV boosters AND Atlas-Agena target vehicles; cannot be isolated further in the public accounting found -- treat this as whole-program, not launch-vehicle-only.",https://www.nasa.gov/history/SP-4002/p1b.htm,161800000.0,"nominal, ~1962","Titan-II-specific (non-Agena) cost line item, revised as of May 1962 (nearly 2 years before the April 1964 first launch), up from an original $113.0M estimate. This is the only vehicle-specific figure found, though it is a pre-launch program ESTIMATE, not a final actual cost.",https://www.nasa.gov/history/SP-4002/p1b.htm,,,,,,,,,,3600.0,Gemini spacecraft mass to LEO.,31000.0,"NASA-affiliated peer-reviewed inflation-adjusted (2018$, basis year 1962) per-launch cost / capsule mass -- likely reflects the generic Titan II space-launcher config rather than the specifically man-rated GLV variant; treat with caution",https://ntrs.nasa.gov/api/citations/20200001093/downloads/20200001093.pdf,"NO reliable vehicle-specific marginal or fully-loaded per-launch figure exists in public sources for the Titan II GLV alone. The only per-flight economics available is a WHOLE-PROGRAM figure (booster+spacecraft combined, not launch-vehicle-only): ~$723M/crewed flight (2010$) across 10 crewed missions, from Claude Lafleur's widely cited Space Review cost-comparison analysis -- NOT used as this row's opex figure since it isn't launch-vehicle-only. Derived from the LGM-25C Titan II ICBM; man-rating added a Malfunction Detection System, redundancy, radio guidance, and a pogo-oscillation fix. First crewed flight (Gemini 3): 1965-03-23. Last flight (Gemini 12): 1966-11-11. 12/12 successful."
