fiscal_year,metric,value_usd_millions,source_name,source_type,publish_date,notes
2021,starlink_segment_revenue,222,Wall Street Journal (internal SpaceX documents),press_leak_of_internal_docs,2023-09-13,"Widely re-reported by The Information/Forbes in Sept 2023 coverage of the same leaked internal doc; no official SpaceX confirmation."
2022,starlink_segment_revenue,1400,The Information (internal SpaceX documents),press_leak_of_internal_docs,2023-09-13,"Same leaked-document reporting chain as the 2021 WSJ figure."
2022,starlink_segment_revenue,1900,Payload Research,analyst_estimate,2024-01-24,"'Estimating SpaceX's 2023 Revenue' article; modeled bottom-up from launch counts + user metrics + pricing, not from internal docs. Materially higher than the same-year Information leak (1.9B vs 1.4B) -- kept as a separate, conflicting estimate rather than reconciled."
2022,spacex_total_revenue,4600,Payload Research,analyst_estimate,2024-01-24,"Same article as above; includes launch ($2.4B) + Starlink ($1.9B) + other."
2023,starlink_segment_revenue,4200,Payload Research,analyst_estimate,2024-01-24,"Revised down from an earlier $11.5B 2023 forecast once year-end data was available; re-confirmed unchanged in Payload's 2025-01-29 2024-revenue article."
2023,spacex_total_revenue,8700,Payload Research,analyst_estimate,2024-01-24,"Launch $3.5B + Starlink $4.2B + other."
2023,starlink_segment_revenue,3869,SpaceX S-1 registration statement (SEC EDGAR),official_filing,2026-05-20,"Official 'Connectivity' segment revenue, FY ended 2023-12-31, as restated/presented in the 2026 S-1/A#2. This is the authoritative figure for 2023 -- supersedes the pre-filing Payload analyst estimate above, which was directionally close ($4.2B est. vs $3.869B actual)."
2023,spacex_total_revenue,10387,SpaceX S-1 registration statement (SEC EDGAR),official_filing,2026-05-20,"Official total consolidated revenue, FY2023, all segments (Space + Connectivity + AI/other)."
2024,starlink_segment_revenue,6600,Quilty Space (via Via Satellite/SpaceNews),analyst_estimate,2024-05-09,"Mid-year-2024 forward estimate for full-year 2024, made before the year closed."
2024,starlink_segment_revenue,8200,Payload Research,analyst_estimate,2025-01-29,"'Estimating SpaceX's 2024 Revenue' article, published after year-end with full-year data (customer counts, terminal sales, contract disclosures)."
2024,spacex_total_revenue,13100,Payload Research,analyst_estimate,2025-01-29,"Launch $4.2B + Starlink $8.2B + other $0.72B."
2024,starlink_segment_revenue,7599,SpaceX S-1 registration statement (SEC EDGAR),official_filing,2026-05-20,"Official 'Connectivity' segment revenue, FY2024, 96.4% YoY growth over the official 2023 figure. Authoritative -- supersedes both pre-filing analyst estimates above (Quilty's mid-year $6.6B and Payload's post-year-end $8.2B both overshot the actual $7.599B, in opposite directions relative to each other)."
2024,spacex_total_revenue,14015,SpaceX S-1 registration statement (SEC EDGAR),official_filing,2026-05-20,"Official total consolidated revenue, FY2024."
2025,starlink_segment_revenue,10400,Payload Research (Jack Kuhr),analyst_estimate,2026-01-16,"Preliminary full-year estimate published 2 weeks after year-end, before the S-1 was filed."
2025,spacex_total_revenue,15000,Payload Research (Jack Kuhr),analyst_estimate,2026-01-16,"Launch $4.4B + Starlink $10.4B + other; preliminary, later revised by the official filing below."
2025,starlink_segment_revenue,11387,SpaceX S-1 registration statement (SEC EDGAR),official_filing,2026-05-20,"Official 'Connectivity' segment revenue, FY2025, 49.8% YoY growth over the official 2024 figure ($3,788M increase). Authoritative -- Starlink's first year crossing $10B/yr, ~61% of SpaceX's total consolidated revenue. Segment income from operations $4,423M; Segment Adjusted EBITDA $7,168M (63% margin)."
2025,spacex_total_revenue,18674,SpaceX S-1 registration statement (SEC EDGAR),official_filing,2026-05-20,"Official total consolidated revenue, FY2025 (Space $4,086M + Connectivity $11,387M + AI $3,201M)."
2026,starlink_segment_revenue_q1_only,3257,SpaceX S-1 registration statement (SEC EDGAR),official_filing,2026-05-20,"Q1 2026 only (three months ended 2026-03-31), NOT a full-year figure -- 31.6% YoY growth over Q1 2025's $2,475M."
2026,starlink_segment_revenue_q2_only,4291,SpaceX Q2 2026 earnings release (SEC EDGAR 8-K exhibit; SpaceX is now public, Nasdaq: SPCX),official_filing,2026-08-04,"Q2 2026 only (three months ended 2026-06-30), NOT a full-year figure -- up 32% sequentially and 66% YoY from Q2 2025's $2,588M. This is a REAL quarterly earnings report, not an S-1 -- SpaceX IPO'd and now reports quarterly like any public company. Starlink Subscribers reached 12.0M (up from 10.3M at Q1 2026, doubled YoY from 6.0M); ARPU held flat at $66/month (same as Q1 2026). Consumer revenue $2,485M, Enterprise & Government revenue $1,806M (up 108% YoY -- enterprise/government growing far faster than consumer). Segment income from operations $1,656M (+79% YoY); Segment Adjusted EBITDA $2,597M (+64% YoY)."
2026,starlink_segment_revenue_h1_only,7548,SpaceX Q2 2026 earnings release (SEC EDGAR 8-K exhibit),official_filing,2026-08-04,"Six months ended 2026-06-30 (Q1 $3,257M + Q2 $4,291M = $7,548M), up from $5,062M in H1 2025 (+49.1% YoY). Annualizing Q2 alone (x4) implies a ~$17.2B/year run-rate; annualizing H1 (x2) implies ~$15.1B/year -- both meaningfully above the full-year-2025 actual of $11,387M, consistent with continued sequential acceleration, not just YoY comparison."
2026,starlink_segment_revenue_annualized_forecast,20000,Quilty Space,analyst_estimate,2026-01-16,"Forward-looking full-year-2026 projection made in Jan 2026 (before the year closed), reported alongside a 16.8M-subscriber year-end-2026 forecast. Not an actual/reported figure -- keep clearly distinguished from the official rows above. Cross-check against real H1 2026 data now available: a $17.2B annualized Q2 run-rate is already close to this forecast with two quarters still to go, suggesting Quilty's $20B full-year-2026 forecast may prove conservative rather than aggressive."
